model,precision,recall
SVM_RBF,0.5851393188854489,1.0
SVM_RBF,0.586046511627907,1.0
SVM_RBF,0.5869565217391305,1.0
SVM_RBF,0.5878693623639192,1.0
SVM_RBF,0.5887850467289719,1.0
SVM_RBF,0.5897035881435257,1.0
SVM_RBF,0.590625,1.0
SVM_RBF,0.5915492957746479,1.0
SVM_RBF,0.5924764890282131,1.0
SVM_RBF,0.5934065934065934,1.0
SVM_RBF,0.5943396226415094,1.0
SVM_RBF,0.5952755905511811,1.0
SVM_RBF,0.5962145110410094,1.0
SVM_RBF,0.5971563981042654,1.0
SVM_RBF,0.5981012658227848,1.0
SVM_RBF,0.5990491283676703,1.0
SVM_RBF,0.6,1.0
SVM_RBF,0.6009538950715422,1.0
SVM_RBF,0.6019108280254777,1.0
SVM_RBF,0.6028708133971292,1.0
SVM_RBF,0.6038338658146964,1.0
SVM_RBF,0.6048,1.0
SVM_RBF,0.6057692307692307,1.0
SVM_RBF,0.6067415730337079,1.0
SVM_RBF,0.6077170418006431,1.0
SVM_RBF,0.6086956521739131,1.0
SVM_RBF,0.6096774193548387,1.0
SVM_RBF,0.6106623586429726,1.0
SVM_RBF,0.6116504854368932,1.0
SVM_RBF,0.6126418152350082,1.0
SVM_RBF,0.6136363636363636,1.0
SVM_RBF,0.6146341463414634,1.0
SVM_RBF,0.6156351791530945,1.0
SVM_RBF,0.6166394779771615,1.0
SVM_RBF,0.6176470588235294,1.0
SVM_RBF,0.618657937806874,1.0
SVM_RBF,0.6196721311475409,1.0
SVM_RBF,0.6206896551724138,1.0
SVM_RBF,0.6217105263157895,1.0
SVM_RBF,0.6227347611202636,1.0
SVM_RBF,0.6237623762376238,1.0
SVM_RBF,0.6247933884297521,1.0
SVM_RBF,0.6258278145695364,1.0
SVM_RBF,0.6268656716417911,1.0
SVM_RBF,0.627906976744186,1.0
SVM_RBF,0.6289517470881864,1.0
SVM_RBF,0.63,1.0
SVM_RBF,0.6310517529215359,1.0
SVM_RBF,0.6321070234113713,1.0
SVM_RBF,0.6331658291457286,1.0
SVM_RBF,0.6342281879194631,1.0
SVM_RBF,0.6352941176470588,1.0
SVM_RBF,0.6363636363636364,1.0
SVM_RBF,0.6374367622259697,1.0
SVM_RBF,0.6385135135135135,1.0
SVM_RBF,0.6395939086294417,1.0
SVM_RBF,0.6406779661016949,1.0
SVM_RBF,0.6417657045840407,1.0
SVM_RBF,0.6428571428571429,1.0
SVM_RBF,0.6439522998296422,1.0
SVM_RBF,0.6450511945392492,1.0
SVM_RBF,0.6461538461538462,1.0
SVM_RBF,0.6472602739726028,1.0
SVM_RBF,0.6483704974271012,1.0
SVM_RBF,0.6494845360824743,1.0
SVM_RBF,0.6506024096385542,1.0
SVM_RBF,0.6517241379310345,1.0
SVM_RBF,0.6528497409326425,1.0
SVM_RBF,0.6539792387543253,1.0
SVM_RBF,0.6551126516464472,1.0
SVM_RBF,0.65625,1.0
SVM_RBF,0.6573913043478261,1.0
SVM_RBF,0.6585365853658537,1.0
SVM_RBF,0.6596858638743456,1.0
SVM_RBF,0.6608391608391608,1.0
SVM_RBF,0.6619964973730298,1.0
SVM_RBF,0.6631578947368421,1.0
SVM_RBF,0.664323374340949,1.0
SVM_RBF,0.6654929577464789,1.0
SVM_RBF,0.6666666666666666,1.0
SVM_RBF,0.6678445229681979,1.0
SVM_RBF,0.6690265486725664,1.0
SVM_RBF,0.6702127659574468,1.0
SVM_RBF,0.6714031971580817,1.0
SVM_RBF,0.6725978647686833,1.0
SVM_RBF,0.6737967914438503,1.0
SVM_RBF,0.675,1.0
SVM_RBF,0.6762075134168157,1.0
SVM_RBF,0.6774193548387096,1.0
SVM_RBF,0.6786355475763016,1.0
SVM_RBF,0.6798561151079137,1.0
SVM_RBF,0.6810810810810811,1.0
SVM_RBF,0.6823104693140795,1.0
SVM_RBF,0.6835443037974683,1.0
SVM_RBF,0.6847826086956522,1.0
SVM_RBF,0.6860254083484574,1.0
SVM_RBF,0.6872727272727273,1.0
SVM_RBF,0.6885245901639344,1.0
SVM_RBF,0.6897810218978102,1.0
SVM_RBF,0.6910420475319927,1.0
SVM_RBF,0.6923076923076923,1.0
SVM_RBF,0.6935779816513762,1.0
SVM_RBF,0.6948529411764706,1.0
SVM_RBF,0.6961325966850829,1.0
SVM_RBF,0.6974169741697417,1.0
SVM_RBF,0.6987060998151571,1.0
SVM_RBF,0.7,1.0
SVM_RBF,0.7012987012987013,1.0
SVM_RBF,0.7026022304832714,1.0
SVM_RBF,0.7039106145251397,1.0
