model,fpr,tpr
XGBoost,0.7072289156626506,1.0
XGBoost,0.7096385542168675,1.0
XGBoost,0.7530120481927711,1.0
XGBoost,0.7590361445783133,1.0
XGBoost,0.7614457831325301,1.0
XGBoost,0.763855421686747,1.0
XGBoost,0.7783132530120482,1.0
XGBoost,0.7807228915662651,1.0
XGBoost,0.8024096385542169,1.0
XGBoost,0.808433734939759,1.0
XGBoost,0.8204819277108434,1.0
XGBoost,0.8361445783132531,1.0
XGBoost,0.8530120481927711,1.0
XGBoost,0.8554216867469879,1.0
XGBoost,0.880722891566265,1.0
XGBoost,0.8831325301204819,1.0
XGBoost,0.8939759036144578,1.0
XGBoost,0.8987951807228916,1.0
XGBoost,0.9120481927710843,1.0
XGBoost,0.9144578313253012,1.0
XGBoost,1.0,1.0
SVM_Linear,0.0,0.0
SVM_Linear,0.0,0.026455026455026454
SVM_Linear,0.0,0.6402116402116402
SVM_Linear,0.0012048192771084338,0.6402116402116402
SVM_Linear,0.0012048192771084338,0.7407407407407407
SVM_Linear,0.0024096385542168677,0.7407407407407407
SVM_Linear,0.0024096385542168677,0.8386243386243386
SVM_Linear,0.0024096385542168677,0.8465608465608465
SVM_Linear,0.0024096385542168677,0.9417989417989417
SVM_Linear,0.0024096385542168677,0.9470899470899471
SVM_Linear,0.0024096385542168677,0.9735449735449735
SVM_Linear,0.0036144578313253013,0.9735449735449735
SVM_Linear,0.0036144578313253013,0.9841269841269841
SVM_Linear,0.004819277108433735,0.9841269841269841
SVM_Linear,0.004819277108433735,0.9867724867724867
SVM_Linear,0.006024096385542169,0.9867724867724867
SVM_Linear,0.006024096385542169,0.9894179894179894
SVM_Linear,0.007228915662650603,0.9894179894179894
SVM_Linear,0.007228915662650603,0.9920634920634921
SVM_Linear,0.00963855421686747,0.9920634920634921
SVM_Linear,0.00963855421686747,0.9947089947089947
SVM_Linear,0.01325301204819277,0.9947089947089947
SVM_Linear,0.01325301204819277,1.0
SVM_Linear,1.0,1.0
MultinomialNB,0.0,0.0
MultinomialNB,0.0,0.0026455026455026454
MultinomialNB,0.0,0.2724867724867725
MultinomialNB,0.0,0.2777777777777778
MultinomialNB,0.0,0.5634920634920635
